,brand,category,name,ingredients,details,image_url,id
0,Lancôme,Foundation,Teint Idole Ultra Long Wear Foundation," -Eternalsoft Polymer: Increases comfort level with long-lasting wear.
-NAI Pigments: Specially-coated pigments maintain consistent pH level with skin- so color stays true all day.
-Perlite and Silica: Absorb oil effectively.

Water- Cyclopentasiloxane- Polypropysilsequioxane- Isododecane- Dimethicone- C30-45 Alkyldimethylsilyl- Polypropylsilsequioxane Silica- Glycerin- Peg-10 Dimethicone- Dimethicone/Polyglycerinej-3 Crosspolymer- Sodium Chloride- Nylon-12- Paraffin- Cyclomethione- Aluminum Hydroxide- Disodium Edta- Disodium Stearoyl Glutamate- Dipropylene Glycol- Disteardimonium Hectorite- Acrylates Copolymer- Phenoxyethanol Chlorphenesin- Ethylparaben- [+/- May Contain CI 77007 / Ultramarines- CI 77491- CI 77492- CI 77499 / Iron Oxides- CI 77891 / Titanium Dioxide].",What it is: An oil-free- long-wearing- liquid foundation that delivers buildable coverage and leaves a natural-looking- velvety-matte finish for up to 24 hours.Skin Type: Normal- Dry- Combination- and OilyCoverage: Full   Finish: Matte    Formulation: Liquid  Ingredient Callouts: Free of fragrance.  What Else You Need to Know: Teint Idole Ultra Long Wear—now available in 50 shades—is guaranteed to have your shade. In a study with 400 women- 98 percent of participants were able to find their perfect shade match.,https://www.sephora.com/productimages/sku/s2667970-main-zoom.jpg?imwidth=930,0971880107
1,Lancôme,Mascara,CILS BOOSTER XL Super-Enhancing Mascara Base,Water- Oryza Sativa Cera/Rice Bran Wax- Cera Carnauba/Carnauba Wax/Cire De Carnauba- Cera Alba/Beeswax/Cire D'abeille- Stearic Acid- Candelilla Cera/Candelilla Wax/Cire De Candelilla- Triethanolamine- Palmitic Acid- Acacia Senegal/Acacia Senegal Gum- Panthenol- Sodium- Polymethacrylate- Hydroxyethylcellulose- Propylparaben- Peg/Ppg-17/18 Dimethicone- Methylparaben- Simethicone- Rayon- Polyquaternium-10- Tocopheryl Acetate- Polycaprolactone.,"What it is: 
A lash-conditioning mascara primer to maximize mascara results—creating even longer-looking and more volumized lashes.
Highlighted Ingredients: - Vitamin E and Micro-Fibers: Condition lashes.What Else You Need to Know: With just one sweep- this iconic mascara primer evenly coats lashes to maximize the results of your favorite mascara. The conditioning formula- infused with micro-fibers and vitamin E- adds a look of extra length and thickness to lashes. At night- this can also be used as a lash mask to nurture lashes.Clinical Results: In a consumer test with a panel of 103 women using CILS BOOSTER and their regular mascara:- 93% saw more length- 92% saw more volume- 85% saw more curl
",https://www.sephora.com/productimages/sku/s2109965-main-zoom.jpg?imwidth=930,0316666343
2,Lancôme,Mascara,Monsieur Big Mascara,"Water- Paraffin- Potassium Cetyl Phosphate- Copernicia Cerifera Cera / Carnauba Wax- Ethylene/Acrylic Acid Copolymer- Styrene/Acrylates/Ammonium Methacrylate Copolymer- Cera Alba / Beeswax- Synthetic Beeswax- Bis-Diglyceryl Polyacyladipate-2- Polybutene- Cetyl Alcohol- Steareth-20- Glyceryl Dibehenate- Steareth-2-C12-13 Pareth-23- C12-13 Pareth-3- Tribehenin- Acacia Senegal Gum- Glyceryl Behenate- Sodium Laureth Sulfate- Silica- Divinyldimethicone/Dimethicone Copolymer- Disodium Edta- Hydrogenated Jojoba Oil- Hydrogenated Palm Oil- Hydroxyethylcellulose- Caprylyl Glycol- Tetrasodium Edta- Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer- Butylene Glycol- Bht- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate- Potassium Sorbate- Sodium Dehydroacetate- Phenoxyethanol- [+/- May Contain- Ci 75470 / Carmine- Ci 77007 / Ultramarines-Ci 77491- Ci 77492- Ci 77499 / Iron Oxides]. 
",What it is: A long-lasting- voluminous mascara with a black-boosting polymer in its pigment for 12 times more volume and up to 24 hours of wear.What Else You Need to Know: This creamy- lengthening mascara with a gel-like texture does not require touch-ups. This voluminous mascara glides smoothly onto lashes for an even- buildable- and clump-free application.  Eyelashes appear extra intense due to black-boosting polymers and an intense grade of rich black pigments. Clinical Results: - 95% felt that it glides easily onto lashes- 95% found that it’s comfortable to wear all day long- 92% found the color of the mascara very dark/intense,https://www.sephora.com/productimages/sku/s1956176-main-zoom.jpg?imwidth=930,0385504209
3,Lancôme,Mascara,DÉFINICILS - High Definition Mascara,Water- Paraffin- Stearic Acid- Triethanolamine- Cera Alba/Beeswax/Cire Dabeille- Acacia Senegal/Acacia Senegal Gum- Palmitic Acid- Cera- Carnauba/Carnauba Wax/Cire De Carnauba- Hydroxyethylcellulose- Panthenol- Imidazolidinyl Urea- Sodium Polymethacrylate- Methylparaben- Propylparaben- Simethicone- Bht- Silica- Polyquaternium-10- [+/- May Contain: Ci 77499- Ci 77492- Ci 77491 / Iron Oxides- Ci 77007 /Ultramarines- Mica- Ci 77891/Titanium Dioxide- Ci 75470/Carmine- Ci 77510/Ferric Ferrocyanide].,"What it is: An iconic mascara that creates clean and defined- natural-looking lashes.What Else You Need to Know: This mascara helps define eyelashes using polymers formulated to lengthen. The fine comb-like brush has a ""hedgehog"" bristles pattern that enables it to dispense the perfect amount of product lash by lash for gradual and even application. ",https://www.sephora.com/productimages/sku/s137471-main-zoom.jpg?imwidth=930,0060928336
4,Lancôme,Makeup Removers,Bi-Facil Double-Action Eye Makeup Remover,Aqua/Water- Cyclopentasiloxane- Isohexadecane- Sodium Chloride- Poloxamer 184- Hexylene Glycol- Dipotassium Phosphate- Benzyl Alcohol- Potassium Phosphate- Quaternium-15- Benzalkonium Chloride- Parfum / Fragrance- Citronellol- Geraniol. ,What it is:  An award-winning eye makeup remover that is gentle enough for sensitive skin and contact-lens-wearers.Skin Type: Normal- Dry- Combination- and Oily Formulation: Liquid What Else You Need to Know:  Shake this bi-phase makeup remover before use to activate it. The lipid phase lifts eye makeup off- while the water phase uses unique emollients to effortlessly remove eye makeup residue. It leaves skin feeling perfectly cleansed. It is as fresh as water with a no-rinse formula.,https://www.sephora.com/productimages/sku/s534628-main-zoom.jpg?imwidth=930,0312195516
5,Lancôme,Lipstick,L'Absolu Lacquer,Octyldodecanol- Water-Trimethylsiloxyphenyl Dimethicone- Ethylcellulose- Sorbitan Stearate- Glycerin- Alcohol- Tin Oxide- Calcium Aluminum Borosilicate- Calcium Sodium Borosilicate- Sodium Lauryl Sulfate- Silica- Alumina- Aluminum Hydroxide- Magnesium Silicate- Sucrose Cocoate- Hydroxypropyl Guar- Synthetic Fluorphlogopite- Cetyl Alcohol- Phenoxyethanol- Geraniol- Hydroxycitronellal- Hexyl Cinnamal- Benzyl Alcohol- Fragrance. May Contain (+/-): Red 7 (Ci 15850)- Yellow 6 (Ci 15985)- Red 33 (Ci 17200)- Yellow 5 (Ci 19140)- Blue 1 (Ci 42090)- Red 28 (Ci 45410)- Carmine (Ci 75470)- Barium Sulfate (Ci 77120)- Iron Oxides (Ci 77491- Ci 77492- Ci 77499)- Titanium Dioxide (Ci 77891)- Mica.,What it is: A lip lacquer and long-wear stain that's buildable for high-impact color and shine.What it does: This brilliant lip lacquer combines the comfort and shine of a gloss- the pigment of a lipstick- and the lasting power of a stain. The high-shine finish and vivid color payoff are buildable from sheer to full coverage in as little as three coats. Lancôme’s innovative oil-in-water emulsion is lightweight and non-sticky- providing up to six hours of wear. Enriched with glycerin- this formula keeps lips feeling hydrated throughout the day.Beauty Tip: Play with your lip look by applying one- two- or three coats to build up the color and shine intensity of L'Absolu Lacquer. For a more defined look- use Le Lipstique lip liner (sold separately) to outline lips. L'Absolu Lacquer can also be layered over L'Absolu Rouge lipstick (sold separately) for a bold- deeply-pigmented look.,https://www.sephora.com/productimages/sku/s2067486-main-zoom.jpg?imwidth=930,044023722X
6,Lancôme,Foundation,DUAL FINISH – Multi-tasking Longwear Powder Foundation,Talc- Mineral Oil- Squalane- Zinc Laurate- Stearic Acid- Linalool- Geraniol- Glyceryl Stearate- Triethanolamine- Isoeugenol- Cholesterol- Coumarin- Aluminum Myristates/Palmitates- Cinnamyl Alcohol- Farnesol- Limonene- Lanolin- Hydroxycitronellal- Petrolatum- Citronellol- Benzyl Benzoate- Benzyl Salicylate- Fragrance- Alpha-Isomethyl Ionone- Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde- Hexyl Cinnamal- Butylparaben- May Contain: Mica- Titanium Dioxide- Iron Oxides.,What it is: A sheer to full-coverage- versatile- mattifying- and long-lasting powder and foundation in one.  Coverage: Full Finish: Matte Formulation: PowderSkin Type: Normal- Dry- Combination- and Oily What Else You Need to Know: This versatile face powder is buildable- long-lasting- and can be used wet or dry. It delivers sheer to full coverage and is perfect for on-the-go touch-ups- covering the look of flaws and imperfections- contouring- and/or as a setting powder. It does not cake or dry out skin and it is suitable for all skin types.,https://www.sephora.com/productimages/sku/s135558-main-zoom.jpg?imwidth=930,0679781587
7,Lancôme,Mascara,HYPNÔSE DRAMA Instant Full Body Volume Mascara,Isododecane- Cera Alba/Beeswax- Copernicia Cerifera Cera/Carnauba Wax- Disteardimonium Hectorite- Water- Allyl Stearate/Va Copolymer- Oryza Sativa Cera/Rice Bran Wax- Paraffin- Alcohol Denat.- Polyvinyl Laurate Vp/Eicosene Copolymer- Propylene Carbonate- Talc- Synthetic Beeswax- PEG-30 Glyceryl Stearate- Candelilla Cera/Candelilla Wax- Panthenol- Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer- Methylparaben- Propylparaben- [+/- (May Contain): CI 77499 (Iron Oxides)].,What it is: An intense black mascara with a unique S-shaped brush for instant volume in a single stroke.What Else You Need to Know: This volumizing mascara creates lash drama in a single coat—without clumping or flaking.  The full-contact brush has an S-shaped curve to grasp and evenly coat lashes from root to tip for bold- buildable volume.,https://www.sephora.com/productimages/sku/s1197458-main-zoom.jpg?imwidth=930,0142001740
10,Lancôme,Mascara,Monsieur Big Waterproof Mascara,Water- Paraffin- Potassium Cetyl Phosphate- Carnauba Wax- Ethylene/Acrylic Acid Copolymer- Styrene/Acrylates/Ammonium Methacrylate Copolymer- Beeswax- Synthetic Beeswax- Bis-Diglyceryl Polyacyladipate-2- Polybutene- Cetyl Alcohol- Steareth-20- Glyceryl Dibehenate- Steareth-2- C12-13 Pareth-23- C12-13 Pareth-3- Tribehenin- Acacia Senegal Gum- Glyceryl Behenate- Sodium Laureth Sulfate- Silica- Divinyldimethicone/Dimethicone Copolymer- Disodium EDTA- Hydrogenated Jojoba Oil- Hydrogenated Palm Oil- Hydroxyethylcellulose- Caprylyl Glycol- Tetrasodium EDTA- Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer- Butylene Glycol- BHT- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate- Potassium Sorbate- Sodium Dehydroacetate- Phenoxyethanol. May Contain (+/-): Carmine (Ci 75470)- Ultramarines (Ci 77007)- Iron Oxides (Ci 77491- Ci 77492- Ci 77499).,What it is:A waterproof- high-volume mascara that delivers bold lash volume for up to 24 hours.What it does: Everything you love about Monsieur Big—now in a waterproof formula. The Monsieur Big Mascara features a large brush and a sweat-proof- smudge proof formula that glides onto lashes like silk and delivers exceptional volume for up to 24 hours of wear. This waterproof mascara doesn’t require touch-ups and doesn’t flake.What it is formulated WITHOUT:- Parabens- Sulfates- PhthalatesWhat else you need to know: Monsieur Big’s brush has a unique shape with soft- wavy fibers to deliver the perfect amount of formula from the very first stroke. This ultra-creamy formula contains supple waxes and polymers to adhere immediately to lashes for big- buildable volume and length.Beauty Tip:To take this mascara to the next level- prep your lashes with Cils Booster XL Lash Primer (sold separately). Then remove all traces of your mascara with the Bi-Facil Double-Action Eye Remover (sold separately).,https://www.sephora.com/productimages/sku/s2059491-main-zoom.jpg?imwidth=930,0446672211
11,Lancôme,Makeup,CILS BOOSTER XL Super-Enhancing Mascara Base Mini,Water- Oryza Sativa Cera/Rice Bran Wax- Cera Carnauba/Carnauba Wax- Cera Alba/Beeswax- Stearic Acid- Candelilla Cera/Candelilla Wax- Triethanolamine- Palmitic Acid- Acacia Senegal/Acacia Senegal Gum- Panthenol- Sodium- Polymethacrylate- Hydroxyethylcellulose- Propylparaben- PEG/PPG-17/18 Dimethicone- Methylparaben- Simethicone- Rayon- Polyquaternium-10- Tocopheryl Acetate- Polycaprolactone.,What it is:A lash-conditioning mascara primer that conditions and primes lashes to maximize results—creating even longer and more volumized lashes.What it does:Give your lashes an XL boost. With just one sweep- this innovative mascara primer glides on to evenly coat and smooth your lashes- maximizing the results of your favorite mascara. The magic behind this mascara base is the conditioning formula—infused with micro-fibers and vitamin E—which adds the look of extra length and thickness to lashes for added visible performance. White in color- it allows the black pigments to stand out from the clean base with more intensity than with traditional mascaras.What else you need to know: CILS BOOSTER XL lengthens and thickens the look of lashes to maximize the results of any mascara. Use CILS BOOSTER XL as a “lash mask” at night on clean lashes to nourish and rejuvenate.Beauty Tip:Apply the luxurious Rénergie Lift Multi-Action Eye Cream (sold separately) before using CILS BOOSTER XL for a youthful- radiant- wide-eyed look.,https://www.sephora.com/productimages/sku/s1866359-main-zoom.jpg?imwidth=930,059035342X
12,Lancôme,Eyeliner,ARTLINER - Precision Point EyeLiner,Water- Propylene Glycol- Acrylates Copolymer- Polyester-5- Alcohol Denat.- Trilaureth-4 Phosphate- Tin Oxide- Calcium Sodium Borosilicate Silica- Xanthan Gum- Synthetic Fluorphlogopite- Imidazolidinyl Urea- Methylparaben- Sodium Dehydroacetate- Propylparaben- [+/- (May Contain): CI 42090 (Blue 1 Lake)- CI 75470 (Carmine)- CI 77007 (Ultramarines)- CI 77163 (Bismuth Oxychloride)- CI 77288 (Chromium Oxide Greens)- CI 77400 (Bronze Powder)- CI 77491- CI 77492- CI 77499 (Iron Oxides)- CI 77510 (Ferric Ferrocyanide)- CI 77891 (Titanium Dioxide)- Mica].,What it is: A smudge-proof and richly pigmented eyeliner that has a clean and precise application in satin and metallic finishes.What Else You Need to Know: With a unique- double film-forming set of polymers- Artliner creates long-lasting lines with intense color payoff. The felt-tipped pen allows for ultimate precision and is ideal for wings- cat eyes- or a cut-crease makeup look.  ,https://www.sephora.com/productimages/sku/s136952-main-zoom.jpg?imwidth=930,0316601950
13,Lancôme,Face Primer,LA BASE PRO Perfecting Makeup Primer,Cyclopentasiloxane- Dimethicone Crosspolymer.,What it is: An oil-free face primer that creates a smooth makeup base- absorbs quickly- and leaves skin feeling smooth and soft.What Else You Need to Know: Using Lancôme’s Elasto-Smooth technology- this face primer refines skin’s texture and diffuses light.  It reduces the look of imperfections and creates a smooth base. With its oil-free formulation- this product allows makeup to last all day. It’s also suitable for all skin types.,https://www.sephora.com/productimages/sku/s1103779-main-zoom.jpg?imwidth=930,0375727345
14,Lancôme,Eyeliner,LE STYLO WATERPROOF - Long Lasting Eyeliner,Cyclopentasiloxane- Paraffin- PEG-6 Beeswax- Diisostearyl Dimer Dilinoleate- Hydrogenated Castor Oil- Ozokerite- Calcium Stearate- Ceresin- Alumina- Tocopherol- Ascorbyl Palmitate- Methylparaben- Propylparaben- [+/- (May Contain): CI 42090 (Blue 1 Lake)- CI 75470 (Carmine)- CI 77007 (Ultramarines)- CI 77163 (Bismuth Oxychloride)- CI 77288 (Chromium Oxide Greens)- CI 77289 (Chromium Hydroxide Green)- CI 77491- CI 77492- CI 77499 (Iron Oxides)- CI 77510 (Ferric Ferrocyanide)- CI 77742 (Manganese Violet)- CI 77891 (Titanium Dioxide)- Mica].,"What it is:
 A long-wearing- waterproof eyeliner pencil for gorgeous eye looks.

What it does:
 Create a perfectly lined eye—with no worries about it fading. The liner’s smooth texture glides on easily with intense color payoff- and it glides on seamlessly—without tugging—for gorgeous color payoff. Line eyes for day and night looks with its array of jewel-tone shades- or go for the classic neutral colors for enhanced eyes that standout. This eyeliner’s blendable texture allows you to line and smudge your eyes to perfection- and then it sets for a look that lasts for hours.
",https://www.sephora.com/productimages/sku/s2494110-main-zoom.jpg?imwidth=930,044021145X
15,Lancôme,Makeup,Monsieur Big Mascara Mini,Water- Paraffin- Potassium Cetyl Phosphate- Copernicia Cerifera Cera / Carnauba Wax- Ethylene/Acrylic Acid Copolymer- Styrene/Acrylates/Ammonium Methacrylate Copolymer- Cera Alba / Beeswax- Synthetic Beeswax- Bis-Diglyceryl Polyacyladipate-2- Polybutene- Cetyl Alcohol- Steareth-20- Glyceryl Dibehenate- Steareth-2-C12-13 Pareth-23- C12-13 Pareth-3- Tribehenin- Acacia Senegal Gum- Glyceryl Behenate- Sodium Laureth Sulfate- Silica- Divinyldimethicone/Dimethicone Copolymer- Disodium Edta- Hydrogenated Jojoba Oil- Hydrogenated Palm Oil- Hydroxyethylcellulose- Caprylyl Glycol- Tetrasodium Edta- Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer- Butylene Glycol- Bht- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate- Potassium Sorbate- Sodium Dehydroacetate- Phenoxyethanol- [+/- May Contain- Ci 75470 / Carmine- Ci 77007 / Ultramarines-Ci 77491- Ci 77492- Ci 77499 / Iron Oxides]. ,"What it is:
A high-volume mascara that delivers bold lash volume for up to 24 hours.

What it does:
 The Monsieur Big Mascara features a large brush and an ultra-creamy formula that glides onto lashes like silk and delivers up to 12 times the volume with up to 24 hours of wear. Ideal for all-day wear- this mascara doesn’t require touch-ups and doesn’t flake or smudge. This brush’s unique shape features soft- wavy fibers to deliver the perfect amount of formula with the very first stroke. This ultra-creamy formula has supple waxes and polymers to adhere immediately to lashes for big- buildable volume and length.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

Beauty tip:
To take this mascara to the next level- prep your lashes with CILS BOOSTER XL Lash Primer. Then remove all traces of your mascara with the BI-FACIL Double-Action Eye Remover.

What else you need to know:
 Monsieur Big’s brush has a unique shape with soft- wavy fibers to deliver the perfect amount of formula with the very first stroke. The ultra-creamy formula is infused with supple waxes and polymers to adhere immediately to lashes for bold- buildable volume and length. 

Research results:
 In a consumer panel survey on 110 participants:
- 95% felt that it glides easily onto lashes
- 95% find hat it's comfortable to wear all day long 
- 92% found the color of the mascara very dark/intense
- 91% felt that it made their eyes look bigger
- 90% felt that it really lengthened their lashes

",https://www.sephora.com/productimages/sku/s1956184-main-zoom.jpg?imwidth=930,0452282152
16,Lancôme,Mascara,DÉFINICILS WATERPROOF - High Definition Mascara,Isododecane- Cera Alba/Beeswax- Water- Disteardimonium Hectorite- Carnauba Wax- Allyl- Stearate/VA Copolymer- Paraffin- Propylene Carbonate- VA/Vinyl Butyl Benzoate/Crotonates Copolymer- Talc- Polyvinyl Laurate- Sodium- Polymethacrylate- Propylparaben- Methylparaben- Sodium Dehydroacetate- Polyquaternium-10- [+/- (May Contain): CI 77499- CI 77492- CI 77491 (Iron Oxides)- CI 77007 (Ultramarines)- CI 77891 (Titanium Dioxide)- Mica- CI 75470 (Carmine)- CI 77288 (Chromium Oxide Greens)- CI 77289 (Chromium Hydroxide Green)- CI 19140 (Yellow 5 Lake)- CI 42090 (Blue 1 Lake).,Everything you loved about Définicils Mascara—the famous lengthening- separating and lash defining power—is now in a waterproof formula. Make a splash in black- brown or navy. Ophthalmologist tested and suitable for contact lens wearers.,https://www.sephora.com/productimages/sku/s724294-main-zoom.jpg?imwidth=930,0440214041
17,Lancôme,Lipstick,L'Absolu Rouge Lipstick,Pentaerythrityl Isostearate/Caprate/Caprylate/Adipate- Macadamia Ternifolia Seed Oil- Octyldodecyl Stearate- Cera Microcristallina / Microcrystalline Wax / Cire Microcristalline- Peg-45/Dodecyl Glycol Copolymer- Polyglyceryl-3 Beeswax- Hydrogenated Castor Oil Dimer Dilinoleate- Bis-Diglyceryl- Polyacyladipate-2- Tin Oxide- Calcium Aluminum Borosilicate- Calcium Sodium Borosilicate- Methicone- Silica- Alumina- Magnesium Silicate- Hydroxypalmitoyl Sphinganine- Hydroxypropyl Tetrahydropyrantriol- Synthetic Fluorphlogopite- Disteardimonium Hectorite- Polyester-3- Bht- Tocopheryl Acetate- Fragrance- Geraniol- Methyl-2-Octynoate- Hydroxycitronellal- Citronellol- Hexyl Cinnamal- Benzyl Alcohol- [+/- May Contain / Peut Contenir- Ci 15850 / Red 6- Ci 15850 / Red 7- Ci 15850 / Red 7 Lake- Ci 15985 / Yellow 6 Lake- Ci 19140 / Yellow 5 Lake- Ci 42090 / Blue 1 Lake- Ci 45370 / Orange 5- Ci 45380 / Red 22- Ci 45380 / Red 22 Lake- Ci 45410 / Red 28- Ci 45410 / Red 28 Lake- Ci 75470 / Carmine- Ci 77491- Ci 77492- Ci 77499 / Iron Oxides- Ci 77891 / Titanium Dioxide- Mica].,What it is: A luxurious- hydrating lipstick that comes in three finishes (sheer- cream- and matte)- lasts up to eight-hours- and is rich in antioxidants.What Else You Need to Know: This lipstick is infused with moisturizing Pro-Xylane™ and vitamin E and leaves lips feeling replenished- soft- and comfortable. Satin Color™ Complex allows for an even deposit of color upon application- while its pigments last for up to eight hours of wear. It is also non-drying- non-flaking- and non-caking.,https://www.sephora.com/productimages/sku/s2494037-main-zoom.jpg?imwidth=930,0804106304
18,Lancôme,Mascara,HYPNÔSE DRAMA WATERPROOF,Isododecane- Cera Alba/Beeswax/Cire Dabeille- Copernicia Cerifera Cera/Carnauba Wax/Cire De Carnauba- Disteardimonium Hectorite- Water- Allyl Stearate/Va Copolymer- Oryza Sativa Cera/ Rice Bran Wax- Paraffin- Alcohol Denat.- Polyvinyl Laurate Vp/Eicosene Copolymer- Propylene Carbonate- Talc- Synthetic Beeswax- Peg-30 Glyceryl Stearate- Candelilla Cera/Candelilla Wax/ Cire De Candelilla- Panthenol- Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer- Methylparaben- Propylparaben- [+/- May Contain: Ci 77499/Iron Oxides].,"What it is:A full-impact- waterproof volumizing mascara with 24-hour hold.

What it does:Get full volume lashes that last with Lancôme’s waterproof Hypnose Drama Mascara. Its luxe Texturizing Complex features highly saturated waxes and intense black pigments to create maximum lash volume. The full contact brush- with its S-shaped curve- grasps and coats lashes for a fanned out- full fringe. The triple coating system delivers a fluid and creamy application to quickly and easily build bold lashes that won’t clump or flake.

What else you need to know:This product is fragrance free- ophthalmologist-tested- allergy-tested- and safe for contact lens wearers. The mascara contains extrusion technology to create a fine dispersion of product and the film-forming polymer will not dissolve in water.",https://www.sephora.com/productimages/sku/s1254606-main-zoom.jpg?imwidth=930,0440211727
19,Lancôme,Eyeliner,DRAMA LIQUI-PENCIL™ Longwear Eyeliner,"-Double Polymer Complex: Allows the formula to attach to the skin- so it never breaks.
-Volatile Gliding Oil: Provides nourishing color richness and pigment load that settles onto the lid.
-Soft Waxes: Adhere to the skin- leaving a creamy- easy glide- and blendable texture.
-Volatile Gliding Oils and Vitamin E: Nourish the skin for comfortable- all-day wear.

Rimethylsiloxysilicate- Isododecane- Hydrogenated Polyisobutene- Synthetic Wax- Hydrogenated Polydicyclopentadiene- C20-40 Alcohols- Nylon-611/Dimethicone Copolymer- Calcium Sodium Borosilicate- Disteardimonium Hectorite- Polyethylene- Tin Oxide- Calcium Aluminum Borosilicate- Silica- Alumina- Propyl Carbonate- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate.
",What it is: An eyeliner pencil that is smudgeable- with long-lasting color payoff in matte and metallic finishes.What Else You Need to Know: With its unique hybrid formula- this eyeliner has the high-intensity color payoff of a liquid liner with the ease of application of a pencil.  While creamy and smudgegable when first applied- Drama Liqui-Pencil sets quickly and will not fade or move.  ,https://www.sephora.com/productimages/sku/s2480051-main-zoom.jpg?imwidth=930,0345337662
20,Lancôme,Mascara,HYPNÔSE DOLL LASHES Mascara,Aqua / Water / Eau- Paraffin- Copernicia Cerifera Cera / Carnauba Wax / Cire De Carnauba- Steareth-20- Cera Alba / Beeswax / Cire Dabeille- Acacia Senegal / Acacia Senegal Gum- Alcohol Denat.- Steareth-2- Cetyl Alcohol- Potassium Cetyl Phosphate- Peg/Ppg-17/18 Dimethicone- Tdi/Trimellitic Anhydride Copolymer- Sodium Polymethacrylate- Silica- 2-Oleamido-1-3-Octadecanediol- Phenethyl Alcohol- Nylon-12- Disodium Edta- Hydroxyethylcellulose- Caprylyl Glycol- Panthenol- Pentylene Glycol- Polyquaternium-10- Sodium Dehydroacetate- [+/- May Contain / Peut Contenir: Ci 77007 / Ultramarines- Ci 77491- Ci 77499 / Iron Oxides- Mica].,"What it is:A wide-eyed effect mascara.
What it does:Swipe on a full lash fringe look. This mascara is enriched with nylon powders- offering an ideal lash application for sexy- fanned out lashes. This mascara creates a volumized- yet separated and extended- lifted lash look that’s perfect for fine- thin lashes. 
Its unique- cone-shaped brush allows for an easy- lightweight application- and the precision tip precisely defines hard-to-reach corners and lower lashes.
What it is formulated WITHOUT:- Parabens- Sulfates - Phthalates
What else you need to know:This product is free of synthetic fragrances and dyes and triclosan. This product was ophthalmologically tested and is suitable for sensitive eyes and contact lens wearers
Research results:In a test group a test group:
- 28 women experienced an eye-opening effect of up to 35%",https://www.sephora.com/productimages/sku/s1357664-main-zoom.jpg?imwidth=930,0060930535
